outcode,latitude,longitude
BA12,51.17059707,-2.188472664
BA14,51.31942846,-2.202758
BA21,50.95160622,-2.634607685
BA3,51.27164262,-2.478759516
BA4,51.17281292,-2.532633703
BA9,51.05780368,-2.410201346
BB1,53.75637216,-2.463582978
BB10,53.79930417,-2.219955248
BB3,53.69807005,-2.466640497
BB4,53.70377094,-2.291644326
BB5,53.75431779,-2.372986377
BB9,53.83737197,-2.215663178
BD1,53.79732718,-1.754833542
BD12,53.74601293,-1.762527731
BD13,53.78674841,-1.861063467
BD14,53.78228943,-1.818036974
BD15,53.80998699,-1.837976424
BD16,53.84895537,-1.833926213
BD17,53.84725291,-1.76869966
BD19,53.72730416,-1.713908993
BD20,53.89750918,-1.948262746
BD21,53.86438304,-1.907631571
BD3,53.79847858,-1.727244991
BD4,53.77635709,-1.719748023
BD5,53.77825299,-1.759427425
BD6,53.76475072,-1.78593731
BD9,53.81281776,-1.791890351
BD99,53.79561608,-1.758793
BH10,50.7595837,-1.89321431
BH15,50.7222266,-1.984845739
BH18,50.7593755,-1.998156593
BH2,50.72131856,-1.88335632
BH22,50.80586713,-1.888677959
BH24,50.84453328,-1.787265923
BH31,50.87541734,-1.871368919
BH4,50.72128538,-1.899933188
BH7,50.73599839,-1.828141831
BH8,50.74175383,-1.852293368
BL1,53.59026275,-2.443690879
BL3,53.56505086,-2.43234812
BL4,53.54607337,-2.401103041
BL78,53.5641314,-2.4106591
BL9,53.59193356,-2.287424571
BN1,50.84136117,-0.139685307
BN10,50.79587112,0.001031619
BN12,50.81396012,-0.429133939
BN13,50.83194794,-0.408929224
BN16,50.81460509,-0.496387671
BN18,50.84893105,-0.581917807
BN21,50.77259835,0.276620941
BN25,50.77641298,0.108181104
BN27,50.87166691,0.263509509
BN3,50.83515305,-0.177035746
BN42,50.837511,-0.234266138
BN45,50.89498039,-0.189746463
BN50,50.82618884,-0.140770788
BN51,50.804817,-0.058645
BN9,50.79564608,0.049796648
BR1,51.41179948,0.020651115
BR3,51.40412701,-0.031549956
BR4,51.37521728,-0.008497728
BR8,51.39851544,0.174388303
BN6,50.93017023,-0.153873084
BN7,50.8773711,0.000271144
BN8,50.91582712,0.052337058
BN88,50.82690363,-0.140409625
BN99,50.8186939,-0.394217079
BR2,51.3880501,0.021756486
BR5,51.3910255,0.103081101
