hb_code, midyr_pop_est_2011 ,midyr_pop_est_2010
S08000001,366890,366860
S08000002,113150,112870
S08000003,148060,148190
S08000004,367292,364945
S08000005,295541,293386
S08000006,555280,550620
S08000007,1210254,1203870
S08000008,311960,310830
S08000009,563185,562477
S08000010,848727,836711
S08000011,20160,20110
S08000012,22500,22400
S08000013,405721,402641
S08000014,26080,26190
