constituency,electorate,rejected_ballots,valid_votes,turnout,winner,con,lab,ld,snp,ind,others
Perthshire North,"53,412",117,"29,953",56.3,SNP,"7,866","2,672","1,196","18,219",0,0
Perthshire South & Kinross-shire,"58,093",90,"31,216",53.9,SNP,"8,907","3,980","2,256","16,073",0,0
Renfrewshire North & West,"49,060",92,"27,495",56.2,SNP,"5,489","9,946",550,"11,510",0,0
Renfrewshire South,"50,221",124,"26,908",53.8,Lab,"2,917","12,933",702,"10,356",0,0
Rutherglen,"57,777",94,"27,102",47.1,Lab,"2,096","12,489","1,174","10,710",633,0
Shetland Islands,"17,505",37,"9,391",53.9,LD,330,620,"4,462","1,134","2,845",0
"Skye, Lochaber & Badenoch","57,028",154,"31,915",56.2,SNP,"2,834","4,112","9,742","14,737",490,0
Stirling,"52,185",109,"30,406",58.5,SNP,"4,610","9,188","1,296","14,858",454,0
Strathkelvin & Bearsden,"59,323",149,"33,752",57.1,SNP,"4,438","12,456","2,600","14,258",0,0
Uddingston & Bellshill,"55,584",101,"24,995",45.1,Lab,"2,117","11,531",530,"10,817",0,0
